pid,src,dst,start_ts,end_ts,drop,module
4971,1858,2841,0.0,4000448.0,0,ZteNet.s_2841.dstSink
4972,1858,2841,1120000.0,5120448.0,0,ZteNet.s_2841.dstSink
64585,1858,2841,10000000.0,14000448.0,0,ZteNet.s_2841.dstSink
64586,1858,2841,11120000.0,15120448.0,0,ZteNet.s_2841.dstSink
64587,1858,2841,12240000.0,17000448.0,0,ZteNet.s_2841.dstSink
64588,1858,2841,13360000.0,18000448.0,0,ZteNet.s_2841.dstSink
64589,1858,2841,14480000.0,19000448.0,0,ZteNet.s_2841.dstSink
64590,1858,2841,15600000.0,20000448.0,0,ZteNet.s_2841.dstSink
64591,1858,2841,16720000.0,22000448.0,0,ZteNet.s_2841.dstSink
64592,1858,2841,17840000.0,22000448.0,0,ZteNet.s_2841.dstSink
64593,1858,2841,18960000.0,23000448.0,0,ZteNet.s_2841.dstSink
108172,1858,2841,20000000.0,24000448.0,0,ZteNet.s_2841.dstSink
64594,1858,2841,20080000.0,25000447.999999996,0,ZteNet.s_2841.dstSink
64595,1858,2841,21200000.0,26000448.0,0,ZteNet.s_2841.dstSink
64596,1858,2841,22320000.0,28000448.0,0,ZteNet.s_2841.dstSink
64597,1858,2841,23440000.0,29000447.999999996,0,ZteNet.s_2841.dstSink
64598,1858,2841,24560000.0,30000448.0,0,ZteNet.s_2841.dstSink
64599,1858,2841,25680000.0,31000448.0,0,ZteNet.s_2841.dstSink
64600,1858,2841,26800000.0,32000448.0,0,ZteNet.s_2841.dstSink
154188,1858,2841,30000000.0,34000448.0,0,ZteNet.s_2841.dstSink
154189,1858,2841,31120000.0,36000448.0,0,ZteNet.s_2841.dstSink
154190,1858,2841,32240000.0,37000448.0,0,ZteNet.s_2841.dstSink
108173,1858,2841,21120000.0,37000448.0,0,ZteNet.s_2841.dstSink
154191,1858,2841,33360000.0,38000448.0,0,ZteNet.s_2841.dstSink
108174,1858,2841,22240000.0,39000448.0,0,ZteNet.s_2841.dstSink
108175,1858,2841,23360000.0,39000448.0,0,ZteNet.s_2841.dstSink
108176,1858,2841,24480000.0,40000448.0,0,ZteNet.s_2841.dstSink
108177,1858,2841,25600000.0,40000448.0,0,ZteNet.s_2841.dstSink
108178,1858,2841,26720000.0,41000448.0,0,ZteNet.s_2841.dstSink
108179,1858,2841,27840000.0,41000448.0,0,ZteNet.s_2841.dstSink
108180,1858,2841,28960000.0,42000447.99999999,0,ZteNet.s_2841.dstSink
108181,1858,2841,30080000.0,42000447.99999999,0,ZteNet.s_2841.dstSink
108182,1858,2841,31200000.0,43000448.0,0,ZteNet.s_2841.dstSink
108183,1858,2841,32320000.0,45000448.0,0,ZteNet.s_2841.dstSink
108184,1858,2841,33440000.0,47000448.0,0,ZteNet.s_2841.dstSink
108185,1858,2841,34560000.0,48000448.0,0,ZteNet.s_2841.dstSink
108186,1858,2841,35680000.0,51000448.0,0,ZteNet.s_2841.dstSink
108187,1858,2841,36800000.0,53000448.0,0,ZteNet.s_2841.dstSink
108188,1858,2841,37920000.0,56000448.0,0,ZteNet.s_2841.dstSink
108189,1858,2841,39040000.0,57000448.0,0,ZteNet.s_2841.dstSink
198829,1858,2841,40000000.0,58000447.99999999,0,ZteNet.s_2841.dstSink
108190,1858,2841,40160000.0,59000448.0,0,ZteNet.s_2841.dstSink
198830,1858,2841,41120000.0,60000448.0,0,ZteNet.s_2841.dstSink
108191,1858,2841,41280000.0,60000448.0,0,ZteNet.s_2841.dstSink
198831,1858,2841,42240000.0,75000448.0,0,ZteNet.s_2841.dstSink
108192,1858,2841,42400000.0,76000448.0,0,ZteNet.s_2841.dstSink
198832,1858,2841,43360000.0,77000448.0,0,ZteNet.s_2841.dstSink
380916,1858,2841,80000000.0,84000447.99999999,0,ZteNet.s_2841.dstSink
108193,1858,2841,43520000.0,93000448.0,0,ZteNet.s_2841.dstSink
198833,1858,2841,44480000.0,94000448.0,0,ZteNet.s_2841.dstSink
108194,1858,2841,44640000.0,94000448.0,0,ZteNet.s_2841.dstSink
198834,1858,2841,45600000.0,100000447.99999999,0,ZteNet.s_2841.dstSink
108195,1858,2841,45760000.0,101000448.0,0,ZteNet.s_2841.dstSink
198835,1858,2841,46720000.0,103000448.0,0,ZteNet.s_2841.dstSink
108196,1858,2841,46880000.0,105000448.0,0,ZteNet.s_2841.dstSink
198836,1858,2841,47840000.0,107000448.0,0,ZteNet.s_2841.dstSink
108197,1858,2841,48000000.0,108000448.0,0,ZteNet.s_2841.dstSink
108198,1858,2841,49120000.0,110000448.0,0,ZteNet.s_2841.dstSink
239698,1858,2841,50000000.0,111000448.0,0,ZteNet.s_2841.dstSink
108199,1858,2841,50240000.0,112000448.0,0,ZteNet.s_2841.dstSink
239699,1858,2841,51120000.0,113000448.0,0,ZteNet.s_2841.dstSink
108200,1858,2841,51360000.0,114000448.0,0,ZteNet.s_2841.dstSink
239700,1858,2841,52240000.0,115000447.99999999,0,ZteNet.s_2841.dstSink
108201,1858,2841,52480000.0,116000447.99999999,0,ZteNet.s_2841.dstSink
108202,1858,2841,53600000.0,117000448.0,0,ZteNet.s_2841.dstSink
108203,1858,2841,54720000.0,118000448.0,0,ZteNet.s_2841.dstSink
108204,1858,2841,55840000.0,119000448.0,0,ZteNet.s_2841.dstSink
108205,1858,2841,56960000.0,119000448.0,0,ZteNet.s_2841.dstSink
108206,1858,2841,58080000.0,120000448.0,0,ZteNet.s_2841.dstSink
108207,1858,2841,59200000.0,120000448.0,0,ZteNet.s_2841.dstSink
290155,1858,2841,60000000.0,121000448.0,0,ZteNet.s_2841.dstSink
108208,1858,2841,60320000.0,121000448.0,0,ZteNet.s_2841.dstSink
290156,1858,2841,61120000.0,122000448.0,0,ZteNet.s_2841.dstSink
108209,1858,2841,61440000.0,122000448.0,0,ZteNet.s_2841.dstSink
290157,1858,2841,62240000.0,123000448.0,0,ZteNet.s_2841.dstSink
108210,1858,2841,62560000.0,123000448.0,0,ZteNet.s_2841.dstSink
