0,5126,24,298637721.1666667,36006699.570266925,0.75
1,2991,14,309253440.0,10040000.0,0.8571428571428571
2,723,9,,,1.0
3,5126,53,336445220.4716981,31089938.270010654,0.0
4,2991,9,153595413.33333334,4539609.444424829,0.0
5,535,15,404136912.0,140000.0000000298,0.8666666666666667
6,1637,103,73030239.48543689,49942217.77377462,0.0
7,2671,7,303547431.3333333,24655189.561705075,0.5714285714285714
8,1832,51,283449569.94736844,77997740.6802646,0.2549019607843137
9,3079,61,183386064.26229507,146793126.2277007,0.0
10,2656,65,133598732.0,48706411.218134314,0.7538461538461538
11,4573,48,99612619.39583333,42518317.4953216,0.0
12,672,27,123858516.37037037,44973237.92663307,0.0
13,3216,37,312614010.2162162,106552937.12067707,0.0
14,4600,97,135138808.91752577,71259055.77519278,0.0
15,2593,22,,,1.0
16,2207,29,151650156.86206895,32491637.506520428,0.0
17,2207,7,440015460.5714286,2037697.7805597112,0.0
18,2916,77,197370177.85714287,155393551.38919333,0.0
19,138,72,233108034.5909091,41399728.00999261,0.3888888888888889
20,3538,38,194568350.1111111,82857681.84606045,0.05263157894736842
21,218,30,157132582.08695653,55621146.083645724,0.23333333333333334
22,3678,14,,,1.0
23,535,21,172943672.3809524,53361663.40918004,0.0
24,4395,93,192474458.49462366,109091944.46413682,0.0
25,1871,33,153241845.85185185,47626376.27404884,0.18181818181818182
26,4573,98,77394678.31632653,43344379.1860234,0.0
27,1260,48,225263805.08571428,54867563.274995044,0.2708333333333333
28,3678,72,140399226.875,133142615.76540016,0.0
29,4428,36,470650422.0,2630000.0,0.9444444444444444
30,2174,7,,,1.0
31,439,8,,,1.0
32,1871,51,412867637.65,42623225.48675895,0.6078431372549019
33,953,17,401449979.6666667,23124526.358762052,0.8235294117647058
34,5044,8,,,1.0
35,677,43,351941108.0,106101516.342196,0.7674418604651163
36,4296,32,448762457.0,22049967.139095694,0.875
37,4573,50,288645020.61904764,43360709.280784465,0.16
38,5137,15,62942557.86666667,12603238.1427518,0.0
39,953,30,141495669.7142857,22828328.627411958,0.7666666666666667
40,2174,39,393605203.4814815,83218775.36517353,0.3076923076923077
41,439,28,320767829.21428573,69322525.1864419,0.0
42,1871,9,,,1.0
43,672,14,180813353.54545453,56703140.26315015,0.21428571428571427
44,4428,16,215020970.55555555,2456455.270967005,0.4375
45,1348,23,388700018.0,0.0,0.9565217391304348
46,3079,55,155394258.12727273,164058542.28383616,0.0
47,3079,29,,,1.0
48,2761,31,95875274.19354838,53740384.85165689,0.0
49,3351,25,,,1.0
50,3351,100,8000929.62,334.5147763553749,0.0
51,2778,11,228910967.0,129118608.33354251,0.0
52,2593,36,247341001.29032257,97134840.31415729,0.1388888888888889
53,1832,50,164869536.0,50832904.80938503,0.0
54,4428,19,444353668.99999994,0.0,0.9473684210526315
55,1637,69,129467872.23188406,45119996.287060335,0.0
56,2055,36,376932304.0285714,139342436.3850713,0.027777777777777776
57,2991,96,141453497.27083334,82420090.94810408,0.0
58,4395,99,155961574.19191918,137396900.56657878,0.0
59,1384,7,,,1.0
60,4702,94,283407595.63829786,109603053.79950786,0.0
61,2055,18,361427805.0,12723049.948813366,0.7222222222222222
62,2656,15,379241232.0,11807006.394509973,0.7333333333333333
63,196,8,243598375.0,0.0,0.875
64,5044,95,119081617.68421052,69260658.059645,0.0
65,3262,93,306035712.3333333,93793115.48404059,0.0
66,1922,100,42783959.77,32125980.883306727,0.0
67,3795,15,213359725.7142857,94049047.11767182,0.06666666666666667
68,1637,67,411337259.0769231,56969654.45738706,0.8059701492537313
69,3216,93,69816937.65591398,54253561.61928876,0.0
70,218,47,454744426.0,0.0,0.9787234042553191
71,2593,60,248856639.33333334,110385592.11127438,0.6
